  0:  166| [55] [√After Chapter 1]
247: 3944| [45] ["But when in a situation where you're exposed to such abnormally strong levels of radiation like the 1108 mSv surrounding us, it's known as 'radiation exposure'--"]
248: 3953| [47] [Lieutenant]
249: 3956| [45] ["Which causes severely negative effects on the human body."]
250: 3964| [47] [Lieutenant]
251: 3967| [45] ["This includes skin inflammation, nausea, organ failure, brain cell damage, vision impairment, neurological disorders, genetic disorders, and cancer."]
252: 3975| [47] [Man]
253: 3978| [45] ["...!"]
254: 3983| [45] [The lieutenant's matter-of-fact explanation caused all the hair on the man's body to stick up on their ends in fear.]
255: 3991| [47] [Lieutenant]
256: 3994| [45] ["--These health problems can occur when you're exposed to 100 mSv and above.%NMeaning that the levels we are being exposed to right now are particularly strong."]
257: 4024| [47] [Lieutenant]
258: 4027| [45] ["This environment is so deadly that we normally wouldn't be able to take even a single step in here."]
259: 4053| [47] [Lieutenant]
260: 4056| [45] ["And though some areas in this facility have less radiation than others, it's completely impossible to avoid exposure, no matter where you are."]
261: 4064| [47] [Man]
262: 4067| [45] ["W-we can't get away from it...!?"]
263: 4075| [47] [Man]
264: 4078| [45] ["Are you shitting me!? How the hell can you be so calm at a time like this!?"]
265: 4104| [47] [Lieutenant]
266: 4107| [45] ["Please wait! Please remain quiet until I've finished explaining!"]
267: 4112| [45] [The man instantly shut up at the lieutenant's firm voice.]
268: 4117| [45] [She gestured to the empty ampule in her hand and continued.]
269: 4282| [47] [Lieutenant]
270: 4285| [45] ["But this AD drug offers almost 100%% protection against the effects of radiation exposure-- granted that you're in an area with lower radiation levels, that is."]
271: 4293| [47] [Man]
272: 4296| [45] ["100%%!?"]
273: 4304| [47] [Lieutenant]
274: 4307| [45] ["This is no ordinary drug. It contains medical nanomachines that detoxify and expel the radiation received by the human body."]
275: 4315| [47] [Lieutenant]
276: 4318| [45] ["That said, it's only effective for a mere 60 minutes, and we don't have a lot of it either."]
277: 4339| [45] [Upon hearing her whole explanation, the man--]
278: 4351| [45] [Chose to trust her.]
279: 4359| [47] [Man]
280: 4362| [45] ["I-I see..."]
281: 4367| [45] [Everything he'd just heard felt so utterly unrealistic... but given how the lieutenant had said it all with a straight face, it was probably true.]
282: 4421| [45] [Found himself reluctant to trust her.]
283: 4429| [47] [Man]
284: 4432| [45] ["A drug that gives 100%% protection against radiation...? Are you for real!?"]
285: 4462| [47] [Lieutenant]
286: 4465| [45] ["I can understand why you're shocked."]
287: 4491| [47] [Lieutenant]
288: 4494| [45] ["But please trust me. This is a serious matter that concerns your life."]
289: 4509| [47] [Man]
290: 4512| [45] ["I... I see."]
291: 4517| [45] [It really did feel so utterly unrealistic... but given how serious the lieutenant sounded, he had no choice -but- to believe.]
292: 4536| [45] [But he suddenly felt a chill run through him.]
293: 4544| [47] [Man]
294: 4547| [45] ["Hey, uh, you sure we'll be okay without getting shots too?"]
295: 4573| [47] [Lieutenant]
296: 4576| [45] ["What do you mean? We only just injected ourselves right before we found you--"]
297: 4602| [47] [Lieutenant]
298: 4605| [45] ["...!?"]
299: 4610| [45] [The lieutenant and her subordinate gasped.]
300: 4653| [47] [Female Rescue Worker]
301: 4656| [45] ["Oh yeah...! Captain, when was the last time you gave yourself some AD!?"]
302: 4664| [47] [Man]
303: 4667| [45] ["I-I don't know..."]
304: 4693| [47] [Female Rescue Worker]
305: 4696| [45] ["Crap! You'd better inject yourself just to be safe! You should have some AD on you!"]
306: 4702| [45] [The man frantically searched his pockets and quickly found an ampule in one of them.]
307: 4749| [47] [Man]
308: 4752| [45] ["Found it!"]
309: 4760| [47] [Female Rescue Worker]
310: 4763| [45] ["Using it's a piece of cake! It comes with its own cartridge, so just put it in that--"]
311: 4810| [47] [Female Rescue Worker]
312: 4813| [45] ["Now all you've gotta do is break off the tip, put it against a vein, and then just press the end!"]
313: 4821| [47] [Man]
314: 4824| [45] ["L-like this!?"]
315: 4829| [45] [Urged on by the woman, the man loaded the ampule into the cartridge.]
316: 4860| [45] [Once he injected it, the fluid in the container entered his body, accompanied by the slight prickling pain that came with a shot.]
317: 4865| [45] [And at that moment, he felt like something had faded from his head.]
318: 4870| [47] [Man]
319: 4871| [45] [(What's this feeling... is it a side-effect of the drug?)]
320: 4897| [47] [Female Rescue Worker]
321: 4900| [45] ["What's wrong, Captain? This means you're safe for now, so there shouldn't be a problem."]
322: 4908| [47] [Man]
323: 4911| [45] ["Safe..!?"]
324: 4916| [45] [The idea of feeling safe in this situation was totally insane to the man.]
325: 4921| [47] [Man]
326: 4922| [45] [(There's no way in hell I could accept a messed-up situation like this so easily...)]
327: 4927| [45] [He decided to try asking a question in an attempt to keep himself from worrying.]
328: 4935| [47] [Man]
329: 4938| [45] ["... H-hey, can I ask something?"]
330: 4946| [47] [Man]
331: 4949| [45] ["Just who am I, and what's happening right now?"]
332: 4957| [47] [Man]
333: 4960| [45] ["And, uh, right-- the exit... where's the exit to this facility!?"]
334: 4965| [45] [The lieutenant and her subordinate exchanged glances upon hearing his chain of questions.]
335: 4991| [47] [Female Rescue Worker]
336: 4994| [45] ["The 'exit', huh..."]
337: 5020| [47] [Lieutenant]
338: 5023| [45] ["... Then we'll take you to it now. I'll explain the situation to you on the way there."]
339: 5028| [45] [Their words seemed to carry a heavy weight to them.]
340: 5036| [47] [Man]
341: 5039| [45] ["...? Oh, thanks, I'd appreciate that."]
342: 5065| [47] [Lieutenant]
343: 5068| [45] ["Roger that. Then Captain, ma'am, this way please."]
344: 5109| [47] [Girl]
345: 5112| [45] ["O-okay..."]
346: 5117| [45] [The lieutenant started walking.]
347: 5122| [45] [The rest of the group soon followed after her.]
