  0:  155| [55] [√After Chapter3]
 36:  881| [45] [（限界が近い……これ以上持つか！？）]
 37:  898| [47] [渡瀬]
 38:  899| [45] [（――いや、いける！）]
 39:  904| [45] [渡瀬は自分を鼓舞し、その部屋に留まった。]
 40:  909| [45] [涙を拭い、部屋の中に視線を巡らせる。]
 41: 1007| [45] [するとやがて――炎の合間に、メディカルボックスが見えた！]
 42: 1012| [47] [渡瀬]
 43: 1013| [45] [（中身は！？）]
 44: 1018| [45] [慌てて箱に飛びつく。]
 45: 1027| [45] [その中にはＡＤが――]
 46: 1032| [45] [５本入っていた。]
 47: 1037| [47] [渡瀬]
 48: 1038| [45] [（あった！　あったぞ！！）]
 49: 1044| [45] [渡瀬は引っ掴むように、そのメディカルボックスを懐に入れた。]
 50: 1049| [45] [そして力を振り絞り、部屋を這い出る。]
 51: 1154| [45] [――だが、渡瀬にはもう力が残っていなかった。]
 52: 1164| [45] [脳が酸欠に陥り、意識が朦朧とする。]
 53: 1169| [45] [足は鉛のように重く、眼には涙が溢れ、視界すら閉ざされた。]
 54: 1174| [47] [渡瀬]
 55: 1175| [45] [（くそ、もう、限界だ……！）]
 56: 1180| [45] [闇の中、息を止めて渡瀬は歩いた。]
 57: 1185| [47] [渡瀬]
 58: 1186| [45] [（せめて……）]
 59: 1191| [47] [渡瀬]
 60: 1192| [45] [（せめてこのＡＤを、皆のもとへ……！）]
 61: 1197| [45] [壁にもたれるように、手探りで進む。]
 62: 1202| [45] [だがやがて――その手に、何か柔らかいものが触れた。]
 63: 1207| [47] [渡瀬]
 64: 1208| [45] [（……手？）]
 65: 1213| [45] [誰かの手が、渡瀬の手を強く握った。]
 66: 1218| [45] [渡瀬が涙を拭い、前を見ると、]
 67: 1242| [45] [そこに風見がいた。]
 68: 1247| [47] [渡瀬]
 69: 1248| [45] [（たち、ばな……）]
 70: 1253| [45] [声にならない声が出る。]
 71: 1276| [45] [風見も無声の答えを発した。『隊長』と呼ばれたようだった。]
 72: 1281| [45] [風見は渡瀬に肩を貸し――そして猛然と駆け出した。]
 73: 1363| [45] [ハシゴの部屋に辿り着き、そこに転がり込む。]
 74: 1425| [45] [扉が閉まると同時に、２人で大きく息をついた。]
 75: 1433| [47] [渡瀬]
 76: 1436| [45] [「はあああああっ！」]
 77: 1462| [47] [風見]
 78: 1465| [45] [「はっ、はっ……ふぅぅ……」]
 79: 1491| [47] [風見]
 80: 1494| [45] [「……隊長、ご無事ですか？」]
 81: 1502| [47] [渡瀬]
 82: 1505| [45] [「あ、ああ……」]
 83: 1510| [45] [渡瀬は荒い呼吸のまま、懐からＡＤを取り出す。]
 84: 1518| [47] [渡瀬]
 85: 1521| [45] [「それより、ほら……ＡＤ」]
 86: 1529| [47] [渡瀬]
 87: 1532| [45] [「……これで、みんな、助かるぞ……」]
 88: 1558| [47] [風見]
 89: 1561| [45] [「……！」]
 90: 1566| [45] [風見の眼が鋭くなった。]
 91: 1574| [47] [渡瀬]
 92: 1577| [45] [「すまない……お前には、また心配をかけちまったな」]
 93: 1582| [45] [いつものように叱られることを、渡瀬は覚悟した。]
 94: 1587| [45] [だが、風見は――にっこりと微笑んだ。]
 95: 1613| [47] [風見]
 96: 1616| [45] [「もう、ホントに無茶ばかりして……！」]
 97: 1624| [47] [渡瀬]
 98: 1627| [45] [「し、叱らないのか？」]
 99: 1653| [47] [風見]
100: 1656| [45] [「英雄的な行動は推奨できませんが……今回の功績は、認めざるを得ないでしょう」]
101: 1664| [47] [渡瀬]
102: 1667| [45] [「そう、なのか……よかった」]
103: 1675| [47] [風見]
104: 1678| [45] [「えぇ」]
105: 1683| [45] [風見はそう言って、渡瀬に手を差し伸べる。]
106: 1694| [45] [ちょうどその時、風見の腕時計のアラームが鳴った。]
107: 1721| [47] [風見]
108: 1724| [45] [「ＡＤ投与の時間です。上に行きましょう」]
109: 1732| [47] [渡瀬]
110: 1735| [45] [「あ、ああ」]
111: 1783| [45] [渡瀬は風見の手を借りて、ハシゴを登った。]
112: 1788| [45] [そしてようやく――]
113: 1842| [45] [エンジンルームに辿り着いた。]
114: 1847| [45] [そこにはすでに洵・ユウリ・恵那が運び込まれており、傍らには宇喜多が座り込んでいた。]
115: 1855| [47] [渡瀬]
116: 1858| [45] [「よし、皆にＡＤを投与してやろう」]
117: 1920| [47] [風見]
118: 1923| [45] [「手分けしましょう。３本こちらへ」]
119: 1928| [45] [渡瀬たちはすぐに投与を始めた。]
120: 1970| [45] [まず洵、宇喜多、恵那、ユウリに――]
121: 1987| [45] [そして自分たちにも、それぞれ投与した。]
122: 2013| [47] [風見]
123: 2016| [45] [「次、バイタルチェックします」]
124: 2049| [45] [さらに風見が自分のバイタルチェッカーを外し、皆の手首に順にはめていく。]
125: 2054| [45] [渡瀬が固唾を呑んで見守る中、風見は脈拍や体温などを調べ――]
126: 2059| [45] [ほっとしたように言った。]
127: 2085| [47] [風見]
128: 2088| [45] [「……チェック終了。全員条件つきでグリーン」]
129: 2114| [47] [風見]
130: 2117| [45] [「皆さん気を失っていますが、すぐに回復すると思います」]
131: 2122| [45] [それを聞いて渡瀬も、安堵のため息をつく。]
132: 2130| [47] [渡瀬]
133: 2133| [45] [「はぁ～っ……みんな無事でよかった……」]
134: 2141| [47] [風見]
135: 2144| [45] [「えぇ、しばらく休んでいれば大丈夫そうです」]
136: 2152| [47] [渡瀬]
137: 2155| [45] [「解毒剤とかは必要ないのか？」]
138: 2181| [47] [風見]
139: 2184| [45] [「酸欠空気は人体に極めて有害ですが、毒性はありませんからね。新鮮な空気を吸っていれば大丈夫です」]
140: 2192| [47] [渡瀬]
141: 2195| [45] [「よし、じゃあ橘はみんなを看ていてくれ。オレは今のうちに消火システムとやらを起動させてくる」]
142: 2221| [47] [風見]
143: 2224| [45] [「でも、それってどこにあるんでしょう？　こうもゴチャゴチャしてると……」]
144: 2229| [45] [風見が周囲を見回す。]
145: 2234| [45] [確かにここは、大小様々なパイプや設備が縦横無尽にのたうっていて、どこに何があるのかわからない。]
146: 2242| [47] [渡瀬]
147: 2245| [45] [「何か見取り図のようなものはないか……？」]
148: 2250| [45] [そう思ってあたりを見回すと、ハシゴのすぐ傍に、小さなモニターのついた機械を発見した。]
149: 2276| [47] [風見]
150: 2279| [45] [「あれは？」]
151: 2284| [45] [渡瀬と風見がその機械に駆け寄ると、そのモニターにはこんな文字が表示されていた。]
152: 2352| [45] [＜エンジンルーム　エンジニア用端末　メニュー＞]
153: 2355| [85] [　]
154: 2358| [45] [・各種電子マニュアル画面]
155: 2361| [85] [　]
156: 2364| [45] [・勤務管理画面]
157: 2367| [85] [　]
158: 2370| [45] [・編集画面]
159: 2373| [85] [　%N　%N]
160: 2376| [45] [（タッチパネルに触れてください）]
161: 2402| [45] [――それらはどうやら、このエンジンルームを持ち場とする者が使用していたと思しき、電子マニュアルらしかった。]
162: 2407| [45] [ひとまず渡瀬が、タッチパネルの『各種マニュアル画面』の部分をタッチすると、画面が切り替わった。]
163: 2440| [45] [＜各種電子マニュアル画面　メニュー＞]
164: 2443| [85] [　]
165: 2446| [45] [『ＷＸ粒子増幅器　運用マニュアル』]
166: 2449| [45] [『濾過機構　整備マニュアル』]
167: 2452| [45] [『強制循環ポンプ　整備マニュアル』]
168: 2455| [45] [『配管　整備・点検マニュアル』]
169: 2458| [45] [『配電盤　運用マニュアル』]
170: 2461| [45] [『ドライスプレッサー　運用マニュアル』]
171: 2464| [45] [『全自動ダスター　整備・運用マニュアル』]
172: 2467| [45] [………]
173: 2470| [45] [……]
174: 2473| [45] […]
175: 2502| [47] [渡瀬]
176: 2505| [45] [「題名だけじゃ、どういう内容なのかがよくわからないな……」]
177: 2531| [47] [風見]
178: 2534| [45] [「この『ＷＸ粒子増幅器　運用マニュアル』というのは？」]
179: 2539| [45] [風見がボタンを押すと、また画面が切り変わった。]
180: 2583| [45] [円筒状の機械の画像と共に、マニュアルの目次が現れる。]
181: 2588| [45] [しかしその目次にも、めぼしい項目はなかった。]
182: 2615| [47] [風見]
183: 2618| [45] [「……消火システムとは関係ないみたいですね」]
184: 2626| [47] [渡瀬]
185: 2629| [45] [「くそ、消火システムのマニュアルはないのか？」]
186: 2634| [45] [渡瀬がタッチパネルを操作しようとした、その時――]
187: 2714| [47] [宇喜多]
188: 2717| [45] [「ま、待て……」]
189: 2722| [45] [座り込んでいた宇喜多が、苦しげに声を上げた。]
190: 2730| [47] [渡瀬]
191: 2733| [45] [「宇喜多さん？　大丈夫なのか？」]
192: 2801| [47] [宇喜多]
193: 2804| [45] [「あ、ああ……なんとかね」]
194: 2809| [45] [宇喜多は立ち上がり、頭を振って言った。]
195: 2835| [47] [宇喜多]
196: 2838| [45] [「……それより、消火システムの場所なら僕が知ってる。入所当時、ここに見学しにきた事があるからね」]
197: 2864| [47] [宇喜多]
198: 2867| [45] [「向こうの奥の方だ。案内しよう」]
199: 2875| [47] [渡瀬]
200: 2878| [45] [「そうか、助かるよ」]
201: 2904| [47] [風見]
202: 2907| [45] [「ではお手数ですが、お願いします」]
203: 2912| [45] [宇喜多はうなずいて、よろよろと歩き出す。]
204: 2917| [45] [渡瀬も似たような足取りで、彼を追った。]
